"","date","BTC","SP500"
"1","2013-02-20",29.65,1511.949951
"2","2013-02-21",29.75,1502.420044
"3","2013-02-22",30.25,1515.599976
"4","2013-02-25",30.4,1487.849976
"5","2013-02-26",31.1,1496.939941
"6","2013-02-27",30.9,1515.98999
"7","2013-02-28",33.380001,1514.680054
"8","2013-03-01",34.5,1518.199951
"9","2013-03-04",36.150002,1525.199951
"10","2013-03-05",40.330002,1539.790039
"11","2013-03-06",41.02,1541.459961
"12","2013-03-07",42,1544.26001
"13","2013-03-08",44.18,1551.180054
"14","2013-03-11",48.400002,1556.219971
"15","2013-03-12",44.290001,1552.47998
"16","2013-03-13",46.919998,1554.52002
"17","2013-03-14",47.169998,1563.22998
"18","2013-03-15",46.950001,1560.699951
"19","2013-03-18",51.599998,1552.099976
"20","2013-03-19",59.139999,1548.339966
"21","2013-03-20",64.489998,1558.709961
"22","2013-03-21",70.849998,1545.800049
"23","2013-03-22",69.870003,1556.890015
"24","2013-03-25",73.599998,1551.689941
"25","2013-03-26",78.5,1563.77002
"26","2013-03-27",88.919998,1562.849976
"27","2013-03-28",86.18,1569.189941
"28","2013-04-01",117.980003,1562.170044
"29","2013-04-02",135,1570.25
"30","2013-04-03",132.119995,1553.689941
"31","2013-04-04",142.320007,1559.97998
"32","2013-04-05",142.630005,1553.280029
"33","2013-04-08",230,1563.069946
"34","2013-04-09",165,1568.609985
"35","2013-04-10",124.900002,1587.72998
"36","2013-04-11",117,1593.369995
"37","2013-04-12",93,1588.849976
"38","2013-04-15",68.360001,1552.359985
"39","2013-04-16",93.07,1574.569946
"40","2013-04-17",109.010002,1552.01001
"41","2013-04-18",118.480003,1541.609985
"42","2013-04-19",126.620003,1555.25
"43","2013-04-22",143.479996,1562.5
"44","2013-04-23",154.199997,1578.780029
"45","2013-04-24",141.710007,1578.790039
"46","2013-04-25",136.899994,1585.160034
"47","2013-04-26",128,1582.23999
"48","2013-04-29",139.229996,1593.609985
"49","2013-04-30",116.379997,1597.569946
"50","2013-05-01",106.25,1582.699951
"51","2013-05-02",98.099998,1597.589966
"52","2013-05-03",112.900002,1614.420044
"53","2013-05-06",109.599998,1617.5
"54","2013-05-07",113.199997,1625.959961
"55","2013-05-08",112.800003,1632.689941
"56","2013-05-09",117.699997,1626.670044
"57","2013-05-10",115.639999,1633.699951
"58","2013-05-13",111.400002,1633.77002
"59","2013-05-14",114.220001,1650.339966
"60","2013-05-15",118.209999,1658.780029
"61","2013-05-16",123.5,1650.469971
"62","2013-05-17",123.209999,1667.469971
"63","2013-05-20",122.889999,1666.290039
"64","2013-05-21",123.800003,1669.160034
"65","2013-05-22",126.300003,1655.349976
"66","2013-05-23",133.100006,1650.51001
"67","2013-05-24",131.990005,1649.599976
"68","2013-05-28",132.25,1660.060059
"69","2013-05-29",128.800003,1648.359985
"70","2013-05-30",128.820007,1654.410034
"71","2013-05-31",129.300003,1630.73999
"72","2013-06-03",121.400002,1640.420044
"73","2013-06-04",121.900002,1631.380005
"74","2013-06-05",118.970001,1608.900024
"75","2013-06-06",111,1622.560059
"76","2013-06-07",107.889999,1643.380005
"77","2013-06-10",109,1642.810059
"78","2013-06-11",108.779999,1626.130005
"79","2013-06-12",103.949997,1612.52002
