Area;Total;0-4y;5-9y;10-14y;15-19y;20-24y;25-29y;30-34y;35-39y;40-44y;45-49y;50-54y;55-59y;60-64y;65-69y;70-74y;75-79y;80-84y;85-89y;90-y
WHOLE_COUNTRY;4811067;203360;254362;268927;258690;264062;294990;285223;297319;292306;270462;304130;330105;325590;326771;328704;214693;148621;90727;52025
Akaa;15968;624;959;1075;974;499;608;786;997;1135;1055;1149;1068;1110;1161;1142;682;463;299;182
Alajärvi;9119;418;548;636;574;324;324;344;390;477;431;528;678;792;763;723;447;348;219;155
Alavieska;2492;120;184;182;167;105;101;118;137;117;124;144;177;192;175;151;99;100;65;34
Alavus;11137;535;618;702;660;426;471;475;584;553;558;700;782;833;915;853;584;456;265;167
Asikkala;7849;245;357;441;387;212;204;296;392;444;431;521;593;616;766;795;495;340;215;99
Askola;4571;211;326;333;298;142;210;227;296;317;276;349;329;302;290;292;164;113;57;39
Aura;3831;209;259;263;222;119;192;224;257;279;247;253;234;259;265;227;139;103;49;31
Brändö;85;0;3;2;0;4;3;5;3;2;4;6;13;14;9;10;5;2;0;0
Eckerö;46;0;0;1;0;0;2;1;3;5;5;4;4;7;4;2;4;2;2;0
Enonkoski;1324;39;61;55;49;28;43;55;59;69;43;78;116;108;122;145;107;65;56;26
Enontekiö;1570;41;63;70;52;46;61;85;96;86;90;111;140;144;177;145;76;52;23;12
Espoo;217187;10845;13279;13935;12821;12613;14644;14367;14975;15890;14556;14880;14363;12048;10803;11306;7590;4511;2456;1305
Eura;11073;442;583;655;642;391;490;500;630;580;604;742;807;781;841;931;568;440;272;174
Eurajoki;9075;410;541;625;505;272;369;424;554;620;541;587;618;560;700;748;437;316;152;96
Evijärvi;2284;101;127;151;129;66;90;110;131;113;99;145;151;181;195;161;139;97;54;44
Finström;79;1;2;0;0;0;5;6;3;4;9;9;10;6;8;10;2;4;0;0
Forssa;15793;485;614;742;807;809;721;690;785;809;806;950;1125;1230;1313;1554;968;718;441;226
Föglö;14;0;0;0;0;0;0;0;0;1;2;3;1;5;0;1;0;1;0;0
Geta;26;1;0;1;1;0;0;0;3;1;3;2;2;4;3;3;1;1;0;0
Haapajärvi;6795;350;407;489;465;266;305;299;329;344;336;424;503;533;532;479;297;211;156;70
Haapavesi;6547;348;480;488;457;266;270;349;362;380;304;362;404;468;488;437;274;201;134;75
Hailuoto;936;30;44;46;28;15;20;32;37;48;47;58;73;90;96;105;82;52;24;9
Halsua;1058;36;49;53;50;45;41;30;44;47;62;65;70;88;98;96;64;60;39;21
Hamina;18545;574;812;947;959;665;732;761;954;1053;1042;1266;1453;1531;1451;1653;1115;786;496;295
Hammarland;59;3;5;3;0;0;2;3;4;6;4;6;3;6;3;6;1;3;0;1
Hankasalmi;4697;152;240;288;213;132;138;187;258;245;240;284;387;410;403;432;266;193;150;79
Hanko;4227;98;150;234;183;117;142;165;199;231;269;328;385;348;369;454;285;175;73;22
Harjavalta;6615;232;345;313;350;230;258;281;380;360;332;435;438;464;580;630;414;305;161;107
Hartola;2582;60;83;91;82;65;71;67;86;77;139;193;214;286;280;290;217;133;86;62
Hattula;9166;417;570;603;527;315;375;492;565;576;566;598;711;683;632;638;422;269;137;70
Hausjärvi;7879;301;521;525;445;222;251;324;525;554;491;636;653;608;620;494;312;180;136;81
Heinola;17726;482;647;773;880;580;667;583;762;832;923;1193;1472;1546;1726;1800;1268;815;497;280
Heinävesi;3107;60;106;134;133;49;84;80;100;147;155;191;282;341;333;331;225;184;107;65
Helsinki;510849;22284;23409;22090;21003;31347;47046;44635;39541;35350;28693;31240;33491;29878;27538;28558;19800;12503;7730;4713
Hirvensalmi;2090;70;79;76;60;68;59;75;79;77;94;151;180;236;237;220;127;94;72;36
Hollola;22533;934;1401;1481;1410;588;840;1041;1373;1385;1425;1611;1623;1592;1651;1702;1080;726;423;247
Huittinen;9523;382;460;499;479;396;416;462;500;489;474;590;727;745;777;800;508;431;253;135
Humppila;2135;81;106;122;115;79;59;71;129;121;128;133;168;190;217;161;112;63;56;24
Hyrynsalmi;2157;61;61;72;73;46;79;69;69;60;84;127;204;242;271;240;166;120;73;40
Hyvinkää;43120;1667;2131;2491;2429;2134;2466;2510;2663;2592;2626;2929;3141;2996;2968;2928;1890;1271;803;485
Hämeenkyrö;10140;468;639;610;610;273;392;513;648;630;621;729;772;723;727;692;455;316;192;130
Hämeenlinna;63965;2476;3156;3415;3415;3257;3496;3408;3570;3744;3516;4110;4484;4418;4656;4950;3332;2270;1395;897
Ii;9754;616;780;810;659;310;419;527;586;553;498;556;707;648;631;557;345;257;196;99
Iisalmi;20495;816;1083;1113;1125;948;949;1089;1185;1090;1020;1201;1437;1735;1762;1571;934;696;458;283
Iitti;6487;255;323;330;309;209;228;275;330;328;340;420;507;561;587;576;369;264;167;109
Ikaalinen;6716;226;348;352;320;224;270;276;326;361;338;466;492;503;596;637;428;289;154;110
Ilmajoki;12085;684;808;863;711;529;608;675;804;784;668;679;776;784;794;767;429;315;258;149
Ilomantsi;4581;91;139;154;165;87;114;136;171;179;173;281;382;577;559;520;329;243;176;105
Imatra;24322;755;998;1150;1209;891;1076;1072;1231;1315;1317;1556;1920;1897;2013;2139;1538;1178;669;398
Inari;6131;175;231;273;236;200;321;328;351;352;333;436;562;609;556;479;308;200;123;58
Ingå;2318;68;116;134;143;40;50;98;147;173;202;240;210;188;173;163;93;46;22;12
Isojoki;1838;51;67;78;102;61;73;69;72;62;99;122;162;177;168;180;111;80;57;47
Isokyrö;4395;157;267;291;269;137;158;185;226;217;256;300;320;349;344;338;220;180;119;62
Janakkala;15682;670;837;1011;874;504;639;825;875;983;1019;1176;1173;1109;1076;1145;748;567;281;170
Joensuu;72893;2853;3443;3395;3960;7026;5876;4746;4373;3745;3313;3737;4548;4848;4964;4675;3184;2132;1338;737
Jokioinen;4909;169;253;300;295;151;175;199;270;281;315;371;371;391;419;393;220;166;105;65
Jomala;253;19;16;12;9;5;14;10;14;27;19;24;17;24;17;22;2;1;0;1
Joroinen;4500;158;203;232;209;101;179;162;231;215;244;296;390;434;409;427;260;187;112;51
Joutsa;4196;87;151;207;160;91;100;142;174;164;208;299;357;388;424;458;325;230;143;88
Juuka;4429;106;128;196;194;95;123;145;176;180;182;282;424;505;465;469;312;225;141;81
Juupajoki;1777;56;95;93;96;42;56;71;104;105;86;108;128;153;167;158;99;81;48;31
Juva;5782;171;231;255;275;158;173;205;235;271;266;368;461;564;566;560;412;309;180;122
Jyväskylä;135385;5949;7096;7362;7544;12941;12038;9404;9018;8203;7090;7037;7780;7631;7417;7658;4786;3365;1901;1165
Jämijärvi;1669;52;97;91;82;59;61;65;74;84;97;101;123;146;169;142;89;67;37;33
Jämsä;19407;542;875;1015;980;756;667;702;904;1032;1003;1349;1554;1651;1657;1827;1221;864;509;299
Järvenpää;41139;2038;2395;2384;2391;2141;2890;2681;2840;2602;2396;2642;2881;2660;2551;2513;1461;926;489;258
Kaarina;31246;1660;1893;2017;1775;998;1477;1809;2039;2271;2097;2200;2116;1894;1942;2049;1393;863;506;247
Kaavi;2758;67;121;117;131;64;88;95;117;113;140;212;236;258;255;283;191;140;91;39
Kajaani;35156;1471;1911;2065;1971;2199;2081;2082;2132;1875;1678;1952;2467;2576;2670;2327;1481;1134;691;393
Kalajoki;12022;596;772;804;730;445;543;596;659;618;625;728;852;832;925;903;587;409;245;153
Kangasala;31290;1641;2047;2211;1958;1101;1411;1760;2045;2167;2155;2166;2082;1876;1908;1849;1295;915;453;250
Kangasniemi;5225;145;231;242;215;153;188;201;226;217;233;330;462;456;494;535;362;286;160;89
Kankaanpää;12251;472;636;619;620;517;553;590;616;597;581;776;981;1073;1100;994;610;500;269;147
Kannonkoski;1297;37;47;73;68;37;28;36;47;46;69;91;110;122;131;129;85;64;53;24
Kannus;5306;292;355;327;361;231;232;296;273;264;276;311;381;394;386;379;220;144;118;66
Karijoki;1176;41;49;44;47;33;47;44;59;44;55;86;96;101;116;103;58;70;51;32
Karkkila;8075;276;408;502;474;278;269;331;469;514;507;563;569;635;650;673;402;259;169;127
Karstula;3805;107;158;202;208;90;109;158;163;160;202;249;310;348;349;372;241;186;128;65
Karvia;2241;74;96;91;109;78;83;68;111;111;106;131;173;209;220;226;145;98;62;50
Kaskinen;781;18;24;28;25;11;18;22;29;23;36;45;52;71;129;101;79;47;17;6
Kauhajoki;12639;517;656;717;751;508;543;568;678;670;669;866;904;982;1024;1060;620;434;282;190
Kauhava;14933;562;778;930;900;513;592;633;753;811;809;927;1117;1110;1144;1252;784;612;457;249
Kauniainen;6043;229;332;396;379;273;305;260;344;408;460;480;478;368;312;373;269;204;120;53
Kaustinen;4050;212;295;260;242;144;182;236;281;242;212;248;236;274;279;258;191;117;93;48
Keitele;2120;76;76;80;82;59;68;70;89;103;81;128;160;223;272;212;136;96;68;41
Kemi;19451;730;931;1037;944;895;865;995;1032;1055;959;1235;1378;1643;1717;1547;935;791;478;284
Kemijärvi;7081;183;235;266;252;148;211;242;294;255;304;439;644;739;785;763;502;425;263;131
Keminmaa;7900;342;492;494;451;299;314;411;486;468;439;483;573;591;618;623;353;238;141;84
Kimitoön;1928;37;72;72;68;42;49;71;86;111;114;143;164;204;220;207;123;70;45;30
Kempele;18513;1293;1542;1613;1288;809;969;1114;1342;1302;1182;1158;1045;934;796;882;574;385;208;77
Kerava;32005;1364;1691;1871;1791;1702;2238;1939;2093;1990;1883;2032;2205;2107;2008;2191;1396;837;434;233
Keuruu;9268;297;455;465;433;287;322;367;405;440;490;567;677;809;878;942;587;430;268;149
Kihniö;1793;40;95;79;72;37;61;61;109;81;72;98;183;177;201;147;107;78;61;34
Kinnula;1587;95;93;90;78;48;63;52;61;46;75;85;133;137;156;140;100;66;52;17
Kirkkonummi;29925;1402;1970;2288;2126;1239;1367;1519;1915;2281;2348;2496;2138;1812;1700;1541;940;509;239;95
Kitee;9428;251;378;415;406;211;292;335;372;355;428;612;801;969;1052;913;666;498;319;155
Kittilä;6161;265;328;335;290;232;348;411;443;401;312;414;502;508;435;394;188;179;119;57
Kiuruvesi;7740;333;383;410;393;241;340;334;393;364;327;498;597;701;695;625;436;310;218;142
Kivijärvi;1093;42;42;60;39;24;42;32;43;40;40;73;86;100;110;106;95;61;38;20
